periodo,seccion,indicador,entidad,valor
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,Mibanco,19.72
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,B. GNB,1.75
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,B. Falabella Perú,0.0
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,B. Santander Perú,3.44
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,B. Ripley,0.0
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,Alfin Banco,0.16
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,B. ICBC,1.8900000000000001
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,Bank of China,0.0
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,B. BCI Perú,1.96
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,Compartamos Banco,0.0
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,Santander Consumer Bank,11.75
2026-03,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,B. BBVA Perú,157.77
2026-03,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,BANCOM,184.66
2026-03,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,B. De Crédito del Perú (con sucursales en el exterior),184.34
2026-03,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,B. Pichincha,159.09
2026-03,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,B. Interamericano de Finanzas,184.72
2026-03,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,Scotiabank Perú,204.67000000000002
2026-03,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,Citibank,0.0
2026-03,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,Interbank,154.73
2026-03,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,Mibanco,152.78
2026-03,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,B. GNB,168.83
2026-03,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,B. Falabella Perú,292.84000000000003
2026-03,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,B. Santander Perú,184.35
2026-03,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,B. Ripley,243.62
