periodo,seccion,indicador,entidad,valor
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,B. Cencosud,5.45
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,B. ICBC,0.0
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,B. Continental,2.58
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,B. De Comercio,26.06
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,B. De Crédito del Perú (con sucursales en el exterior),1.48
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,B. Financiero,4.28
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,B. Interamericano de Finanzas,2.19
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,Scotiabank Perú (con Sucursales en el Exterior),3.0
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,Citibank,1.65
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,Interbank (con sucursales en el exterior),2.36
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,Mibanco,8.77
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,B. GNB,3.79
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,B. Falabella Perú,4.66
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,B. Santander Perú,0.71
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,B. Ripley,0.0
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,B. Azteca Perú,0.0
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,Deutsche Bank Perú,0.0
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,B. Cencosud,0.0
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,B. ICBC,0.0
2015-04,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,B. Continental,194.18
2015-04,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,B. De Comercio,114.67
2015-04,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,B. De Crédito del Perú (con sucursales en el exterior),155.75
2015-04,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,B. Financiero,111.64
2015-04,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,B. Interamericano de Finanzas,180.55
2015-04,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,Scotiabank Perú (con Sucursales en el Exterior),133.9
2015-04,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,Citibank,164.99
2015-04,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,Interbank (con sucursales en el exterior),184.9
2015-04,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,Mibanco,134.52
2015-04,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,B. GNB,172.98
2015-04,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,B. Falabella Perú,190.09
2015-04,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,B. Santander Perú,450.72
2015-04,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,B. Ripley,219.82
2015-04,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,B. Azteca Perú,269.35
2015-04,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,Deutsche Bank Perú,0.0
2015-04,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,B. Cencosud,171.9
2015-04,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,B. ICBC,0.0
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,B. Continental,2.3619176328581957
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,B. De Comercio,5.069134663891953
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,B. De Crédito del Perú (con sucursales en el exterior),3.191950867442147
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,B. Financiero,4.451602263020496
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,B. Interamericano de Finanzas,3.023134240788661
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,Scotiabank Perú (con Sucursales en el Exterior),2.7329277908935508
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,Citibank,5.456056634473279
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,Interbank (con sucursales en el exterior),4.07485870015711
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,Mibanco,8.279437472010718
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,B. GNB,3.3870836589345212
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,B. Falabella Perú,12.332169522379171
